"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"10437858","0","5","11","","1"
"10437858","1","6","11","","1"
"10437858","2","7","5","","1"
"10438005","0","20","17","","4"
"10438188","0","10","32","Hook and line","1"
"10438188","1","11","1","","1"
"10451470","0","4","17","","1"
"10456552","0","25","1","","1"
"10456552","1","26","21","","6"
"10464300","0","5","18","","3"
"10464300","1","6","1","","1"
"10464300","2","7","21","","5"
"10464953","0","7","21","","1"
"10473783","0","9","16","","1"
"10474629","0","20","1","","1"
"10476722","0","6","18","","2"
"10476722","1","7","2","","2"
"10488043","0","15","32","Bubo","15"
"10495608","0","7","21","","1"
"10495610","0","8","17","","1"
"10498013","0","8","1","","1"
"10498013","1","9","21","","1"
"10498014","0","4","21","","1"
"10498014","1","5","21","","1"
"10501911","0","11","7","","2"
"10506918","0","10","21","","1"
"10506918","1","11","31","","1"
"10506918","2","12","32","Fishing gear","1"
"10527862","0","17","21","","1"
"10527863","0","11","17","","0"
"10529099","0","2","1","","1"
"10530132","0","7","21","","2"
"10536287","0","6","18","","5"
"10536340","0","13","1","","1"
"10536340","1","14","1","","1"
"10539249","0","9","21","","1"
"10539251","0","7","6","","1"
"10539258","0","13","1","","1"
"10539258","1","14","21","","1"
"10566104","0","8","32","Night Spear gun","1"
"10566108","0","9","17","","1"
"10576954","0","5","1","","0"
"10576955","0","45","1","","1"
"10576956","0","7","1","","0"
"10576959","0","4","1","","1"
"10576963","0","11","18","","1"
"10583164","0","4","1","","1"
"10587606","0","4","17","","1"
"10591943","0","6","21","","1"
"10591948","0","2","1","","1"
"10658576","0","7","17","","1"
"10658580","0","6","18","","2"
"10658581","0","13","","","0"
"10658586","0","6","18","","5"
"10658591","0","5","1","","0"
"10722235","0","11","21","","1"
"10770561","0","5","21","","1"
"10770561","1","6","17","","16"
"10770566","0","7","32","Pasol","1"
"10770575","0","13","21","","1"
"10794704","0","6","17","","5"
"10794707","0","8","1","","1"
"10794707","1","9","21","","1"
"10887366","0","10","1","","0"
"10895487","0","9","21","","3"
"10895494","0","6","21","","2"
"10895498","0","5","21","","1"
"10895502","0","3","9","","1"
"10895504","0","9","21","","1"
"10895510","0","8","1","","1"
"10895516","0","5","1","","1"
"10895516","1","6","21","","1"
"10895521","0","4","1","","2"
"10895521","1","5","21","","2"
"10996283","0","4","5","","1"
"11029162","0","4","21","","1"
"11029163","0","19","21","","1"
"11029164","0","2","21","","1"
"11029166","0","6","21","","1"
"11029167","0","5","21","","1"
"11029168","0","5","21","","1"
"11029169","0","7","21","","1"
"11029172","0","5","21","","1"
"11029173","0","4","21","","1"
"11043099","0","9","21","","1"
"11043099","1","10","32","Pump boat","1"
"11060025","0","4","7","","1"
"11060034","0","13","21","","1"
"11060035","0","9","21","","1"
"11076031","0","5","7","","1"
"11076032","0","5","7","","1"
"11076033","0","7","7","","1"
"11076035","0","9","6","","1"
"11076047","0","13","21","","1"
"11076049","0","21","7","","1"
"11104640","0","5","21","","1"
"11104641","0","5","21","","2"
"11104656","0","7","21","","1"
"11104657","0","8","10","","2"
"11110053","0","5","29","","1"
"11122564","0","6","7","","1"
"11133608","0","11","","","0"
"11135916","0","12","1","","1"
"11159079","0","9","21","","1"
"11159156","0","15","17","","1"
"11172891","0","5","21","","1"
"11188915","0","11","21","","1"
"11188917","0","10","1","","1"
"11193165","0","5","17","","1"
"11193181","0","55","21","","1"
"11219848","0","6","8","","3"
"11219848","1","7","8","","3"
"11219848","2","8","8","","3"
"11290138","0","4","21","","2"
"11290152","0","32","21","","2"
