"main.id","hpq_cct_mem.id","cct_mem_refno"
"10437860","0","2"
"10437860","1","3"
"10450543","0","2"
"10450547","0","2"
"10450548","0","3"
"10450548","1","4"
"10450548","2","5"
"10451472","0","1"
"10451472","1","2"
"10451472","2","3"
"10451473","0","5"
"10451473","1","8"
"10451473","2","9"
"10453361","0","9"
"10453361","1","8"
"10453361","2","3"
"10456550","0","2"
"10456550","1","3"
"10456550","2","4"
"10456552","0","2"
"10456552","1","5"
"10464284","0","4"
"10464284","1","5"
"10464950","0","2"
"10466106","0","4"
"10466207","0","4"
"10466207","1","5"
"10466208","0","4"
"10466208","1","6"
"10466219","0","2"
"10466219","1","3"
"10466219","2","4"
"10466219","3","5"
"10466222","0","5"
"10474629","0","1"
"10474629","1","2"
"10474629","2","3"
"10474629","3","4"
"10474631","0","2"
"10474631","1","1"
"10474631","2","4"
"10474631","3","3"
"10476457","0","5"
"10476729","0","8"
"10482248","0","1"
"10482249","0","8"
"10482249","1","9"
"10482252","0","3"
"10482592","0","4"
"10482592","1","7"
"10482592","2","6"
"10486013","0","3"
"10486013","1","4"
"10486015","0","5"
"10486015","1","6"
"10486015","2","7"
"10486016","0","1"
"10486016","1","2"
"10486016","2","3"
"10486016","3","4"
"10486016","4","5"
"10486370","0","5"
"10486372","0","4"
"10488009","0","3"
"10488040","0","3"
"10488043","0","3"
"10488043","1","4"
"10488043","2","5"
"10450559","0","2"
"10490603","0","2"
"10490603","1","3"
"10498008","0","3"
"10498008","1","4"
"10498008","2","5"
"10498018","0","3"
"10499253","0","1"
"10499253","1","4"
"10499253","2","5"
"10499315","0","1"
"10499315","1","2"
"10499315","2","3"
"10499317","0","1"
"10499317","1","9"
"10499319","0","1"
"10499319","1","2"
"10499319","2","3"
"10499319","3","4"
"10499319","4","5"
"10501905","0","3"
"10501911","0","5"
"10506785","0","3"
"10506785","1","4"
"10506785","2","5"
"10506914","0","2"
"10506914","1","5"
"10506917","0","2"
"10506917","1","3"
"10506917","2","4"
"10506921","0","1"
"10506921","1","3"
"10506921","2","4"
"10506921","3","5"
"10506922","0","2"
"10506922","1","3"
"10506922","2","4"
"10506924","0","5"
"10506924","1","6"
"10507721","0","3"
"10507721","1","4"
"10508817","0","3"
"10520784","0","1"
"10520784","1","3"
"10520784","2","4"
"10520784","3","5"
"10520787","0","1"
"10520787","1","5"
"10520787","2","4"
"10520811","0","1"
