"main.id","hpq_othliveanim.id","liveanimno","liveanim_othtext","liveanim_othliveanimsold","liveanim_othliveanimcons"
"10438189","0","9","Cow","0","0"
"10438189","1","10","Pig","0","0"
"10476451","0","15","Goose","0","0"
"10476451","1","16","Turkey","15","10"
"10453364","0","17","Cow","0","0"
"10453364","1","18","Pig","0","1"
"10486373","0","5","Cattle","1","150"
"10486373","1","6","Goat","0","0"
"10486373","2","7","Chicken","0","0"
"10506927","0","3","","0","0"
"10658581","0","6","Pabo","0","0"
"10770581","0","5","","0","0"
"11135906","0","7","Turkey","15","50"
