"main.id","hpq_prog.id","hpq_prog_mem.id","hpq_prog_mem_refno"
"10457758","0","0","1"
"10457758","0","1","2"
"10476722","0","0","2"
"10476729","0","0","1"
"10476729","0","1","2"
"10476729","0","2","3"
"10476729","0","3","4"
"10476729","0","4","5"
"10476729","0","5","6"
"10476729","0","6","7"
"10476729","0","7","8"
"10501905","0","0","1"
"10501911","0","0","1"
"10527854","0","0","2"
"10527854","1","0","2"
"10527854","2","0","2"
"10527857","0","0","2"
"10527857","1","0","2"
"10527858","0","0","2"
"10527858","1","0","1"
"10527858","2","0","1"
"10527865","0","0","2"
"10527865","1","0","1"
"10527865","1","1","2"
"10527865","1","2","4"
"10527865","2","0","1"
"10476728","0","0","2"
"10501909","0","0","1"
"10536286","0","0","2"
"10536289","0","0","1"
"10536290","0","0","2"
"10536291","0","0","1"
"10536342","0","0","1"
"10536344","0","0","1"
"10536347","0","0","2"
"10536348","0","0","1"
"10592073","0","0","2"
"10592074","0","0","2"
"10592075","0","0","1"
"10592076","0","0","2"
"10592078","0","0","2"
"10592079","0","0","2"
"10501908","0","0","2"
"10536341","0","0","1"
"10609902","0","0","1"
"10609902","1","0","1"
"10609902","2","0","2"
"10609906","0","0","1"
"10658575","0","0","3"
"10658578","0","0","3"
"10770559","0","0","2"
"10770560","0","0","1"
"10770561","0","0","1"
"10770565","0","0","2"
"10770566","0","0","2"
"10770568","0","0","2"
"10770575","0","0","2"
"10770578","0","0","3"
"10770582","0","0","2"
"10794702","0","0","2"
"10794702","0","1","4"
"10794703","0","0","2"
"10794703","0","1","4"
"10794703","0","2","5"
"10794703","0","3","6"
"10895494","0","0","1"
"10770581","0","0","2"
"11104637","0","0","2"
"11104639","0","0","2"
"11104641","0","0","1"
"11104645","0","0","2"
"11104645","0","1","4"
"11104648","0","0","1"
"11104649","0","0","1"
"11104650","0","0","1"
"11104657","0","0","1"
"11172871","0","0","2"
"11172885","0","0","1"
"11172890","0","0","2"
