"main.id","hpq_mem.id","hpq_traincourse.id","traintype","traintype_o"
"10434517","0","0","40",""
"10434517","0","1","40",""
"10434676","0","0","29",""
"10438189","3","0","33",""
"10438190","3","0","19",""
"10438191","0","0","1",""
"10451298","1","0","12",""
"10451298","1","1","16",""
"10451298","1","2","24",""
"10451298","1","3","4",""
"10451298","1","4","17",""
"10451298","1","5","21",""
"10451470","1","0","17",""
"10451471","0","0","29",""
"10451471","1","0","14",""
"10451474","1","0","4",""
"10451481","1","0","20",""
"10457758","0","0","19",""
"10457758","0","1","3",""
"10462093","0","0","99","BNEO"
"10462093","0","1","36",""
"10462094","1","0","2",""
"10434516","1","0","40",""
"10464285","1","0","4",""
"10464286","2","0","29",""
"10464286","3","0","14",""
"10464286","4","0","40",""
"10464289","0","0","1",""
"10464289","1","0","10",""
"10464291","0","0","3",""
"10464291","0","1","1",""
"10464291","1","0","6",""
"10464293","3","0","9",""
"10464294","1","0","19",""
"10464300","3","0","39",""
"10464290","1","0","19",""
"10464949","2","0","20",""
"10464950","4","0","3",""
"10466102","0","0","14",""
"10466102","0","1","33",""
"10466221","0","0","99","Security Guard"
"10466222","1","0","2",""
"10466227","1","0","14",""
"10466228","4","0","29",""
"10473784","2","0","29",""
"10476722","1","0","14",""
"10476722","1","1","4",""
"10476722","2","0","2",""
"10476723","2","0","20",""
"10476729","1","0","",""
"10476729","1","1","",""
"10476729","4","0","12",""
"10476729","5","0","40",""
"10476729","6","0","20",""
"10476731","1","0","14",""
"10476731","1","1","4",""
"10482248","0","0","29",""
"10482249","1","0","2",""
"10482249","3","0","14",""
"10482252","1","0","8",""
"10482252","1","1","4",""
"10482584","0","0","2",""
"10482584","1","0","18",""
"10482584","1","1","40",""
"10486013","1","0","33",""
"10486013","1","1","18",""
"10486013","2","0","32",""
"10486019","1","0","18",""
"10486369","1","0","2",""
"10486369","1","1","14",""
"10486369","2","0","2",""
"10486369","2","1","31",""
"10486369","3","0","29",""
"10488006","1","0","14",""
"10488041","0","0","",""
"10490600","3","0","38",""
"10490600","4","0","40",""
"10490605","0","0","",""
"10490605","0","1","",""
"10490605","0","2","",""
"10490605","0","3","",""
"10498006","2","0","3",""
"10498011","4","0","19",""
"10498021","2","0","3",""
"10498021","2","1","19",""
"10499255","0","0","14",""
"10499317","0","0","18",""
"10499317","0","1","33",""
"10499317","1","0","18",""
"10499317","2","0","9",""
"10501912","4","0","32",""
"10501913","0","0","32",""
"10501913","0","1","29",""
"10501913","1","0","14",""
"10476721","4","0","32",""
"10506914","2","0","29",""
"10506914","3","0","14",""
"10506924","0","0","2",""
"10506928","1","0","22",""
"10506928","1","1","2",""
"10506928","5","0","6",""
"10508395","1","0","29",""
"10508395","1","1","10",""
"10508395","2","0","36",""
"10508395","3","0","6",""
"10508395","3","1","32",""
"10508398","0","0","1",""
"10508398","1","0","32",""
"10508398","1","1","14",""
"10520811","1","0","38",""
"10520811","1","1","Native chicken production",""
"10522467","3","0","",""
"10527857","0","0","29",""
"10527857","0","1","40",""
"10527857","1","0","40",""
"10527857","1","1","10",""
"10527857","2","0","38",""
"10527858","0","0","18",""
"10527858","0","1","40",""
"10527858","1","0","40",""
"10527865","0","0","18",""
"10527865","1","0","18",""
"10527865","2","0","24",""
"10527865","3","0","40",""
"10529101","2","0","29",""
"10529108","1","0","2",""
"10529110","1","0","",""
"10529111","1","0","2",""
"10529111","4","0","Se",""
"10530125","0","0","1",""
"10530125","0","1","3",""
"10530125","1","0","2",""
"10530126","1","0","2",""
"10530126","1","1","30",""
"10530129","2","0","2",""
"10530131","5","0","",""
"10530131","5","1","",""
"10530132","2","0","2",""
"10534086","2","0","19",""
"10534091","0","0","38",""
"10534091","1","0","14",""
"10534091","1","1","32",""
"10534091","1","2","4",""
"10536346","1","0","20",""
"10536346","1","1","33",""
"10536346","1","2","3",""
"10536346","1","3","32",""
"10539247","0","0","29",""
"10539249","4","0","40",""
"10539253","1","0","31",""
"10539253","2","0","16",""
"10539253","3","0","32",""
"10539256","1","0","",""
"10539256","1","1","",""
"10539260","0","0","4",""
"10539260","2","0","19",""
"10539260","4","0","40",""
"10539261","2","0","38",""
"10566103","1","0","8",""
"10566103","1","1","2",""
